vivienda;hogar;variedad;descripcion;id_unidad_medida_presentacion;cantidad_unidades_presentacion;contenido_empaque_presentacion;id_unidad_medida;cantidad_inicial;cantidad_final;consumo_exclusivo_hogar;factor_anual
220;1;16;ACEITE;57;1;128;4;1;0;1;389.15625
220;1;25;GUINEITO VERDE;NA;NA;NA;1;6;0;6;389.15625
220;1;27;HABICHUELAS SUELTAS;56;1;2;2;1;0.25;0.75;389.15625
220;1;29;AZUCARES;NA;NA;NA;2;1.5;0;1.5;389.15625
219;1;15;HUEVOS;NA;NA;NA;1;2;0;2;389.15625
219;1;29;AZUCARES;NA;NA;NA;2;1;0;1;389.15625
219;1;30;CHOCOLATE O COCOA;NA;NA;NA;1;2;0;2;389.15625
208;1;1;PANES;NA;NA;NA;1;10;0;10;920.110143021533
208;1;7;ARROZ;NA;NA;NA;2;7;2;5;920.110143021533
208;1;16;ACEITE;NA;NA;NA;57;0.5;0;0.5;920.110143021533
208;1;17;MANTEQUILLA;105;1;425;3;1;0.75;0.25;920.110143021533
208;1;18;SALAMI;81;1;3;2;1;0.5;0.5;920.110143021533
208;1;24;PLÁTANO VERDE;NA;NA;NA;1;15;6;9;920.110143021533
208;1;25;GUINEITO VERDE;NA;NA;NA;1;6;0;6;920.110143021533
208;1;26;PAPAS;NA;NA;NA;1;8;0;8;920.110143021533
208;1;29;AZUCARES;NA;NA;NA;2;4;2;2;920.110143021533
157;1;1;PANES;NA;NA;NA;1;4;0;4;613.406762014355
157;1;3;GALLETAS SALADAS;NA;NA;NA;1;1;0;1;613.406762014355
157;1;5;AVENA;56;1;325;3;1;0;1;613.406762014355
157;1;7;ARROZ;NA;NA;NA;2;10;2;8;613.406762014355
157;1;9;POLLO;NA;NA;NA;2;1;0;1;613.406762014355
157;1;13;LECHE LÍQUIDA;31;2;1;7;1;0;1;613.406762014355
157;1;16;ACEITE;20;1;2;7;1;0;1;613.406762014355
157;1;18;SALAMI;81;1;3;2;2;0;2;613.406762014355
157;1;19;SARDINAS EN AGUA;63;1;125;3;2;0;2;613.406762014355
157;1;30;CHOCOLATE O COCOA;87;1;453;3;1;0;1;613.406762014355
435;1;7;ARROZ;NA;NA;NA;2;6;0;1;302.189393939394
435;1;15;HUEVOS;NA;NA;NA;1;30;0;30;302.189393939394
435;1;16;ACEITE;57;1;64;4;1.5;0;1;302.189393939394
363;1;5;AVENA;56;1;650;3;0.5;0.5;0;378.586363636363
435;1;27;HABICHUELAS SUELTAS;NA;NA;NA;56;1;0;1;302.189393939394
363;1;7;ARROZ;NA;NA;NA;2;7;0;7;378.586363636363
435;1;29;AZUCARES;NA;NA;NA;56;1;0;1;302.189393939394
363;1;14;LECHE EN POLVO;56;1;1;2;1;0.5;0.5;378.586363636363
363;1;18;SALAMI;NA;NA;NA;2;1.5;0;1.5;378.586363636363
363;1;29;AZUCARES;NA;NA;NA;2;0.25;0;0.25;378.586363636363
363;1;30;CHOCOLATE O COCOA;14;1;26;3;2;2;0;378.586363636363
445;1;3;GALLETAS SALADAS;56;1;1;4;8;0;8;277.006944444444
445;1;4;HARÍNA DE MAÍZ;56;2;397;3;3;0;3;277.006944444444
445;1;7;ARROZ;97;1;50;2;1;0;1;277.006944444444
445;1;9;POLLO;NA;NA;NA;2;3;0;3;277.006944444444
445;1;11;PESCADO;NA;NA;NA;2;15;0;15;277.006944444444
445;1;12;MARISCOS;NA;NA;NA;2;3;0;3;277.006944444444
445;1;14;LECHE EN POLVO;NA;NA;NA;2;1;0;1;277.006944444444
445;1;15;HUEVOS;31;1;30;1;1;0;1;277.006944444444
445;1;16;ACEITE;57;1;2;4;0.5;0;0.5;277.006944444444
445;1;24;PLÁTANO VERDE;NA;NA;NA;1;18;0;18;277.006944444444
445;1;25;GUINEITO VERDE;NA;NA;NA;1;20;0;20;277.006944444444
445;1;26;PAPAS;NA;NA;NA;2;3;0;3;277.006944444444
445;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;5;0;5;277.006944444444
445;1;29;AZUCARES;NA;NA;NA;2;3;0;3;277.006944444444
445;1;30;CHOCOLATE O COCOA;87;1;1;2;0.5;0;0.5;277.006944444444
361;1;5;AVENA;56;1;1;2;0.75;0.25;0.5;378.586363636363
361;1;7;ARROZ;NA;NA;NA;2;5;0;5;378.586363636363
361;1;15;HUEVOS;NA;NA;NA;1;6;0;6;378.586363636363
361;1;16;ACEITE;87;1;8;4;0.5;0;0.5;378.586363636363
361;1;18;SALAMI;NA;NA;NA;2;1;0;1;378.586363636363
361;1;26;PAPAS;NA;NA;NA;2;3;0;3;378.586363636363
361;1;29;AZUCARES;NA;NA;NA;2;2;1;1;378.586363636363
376;1;3;GALLETAS SALADAS;8;1;34;3;10;3;7;347.037499999999
376;1;4;HARÍNA DE MAÍZ;56;1;397;3;1;0;1;347.037499999999
376;1;5;AVENA;56;1;650;3;1;0.5;0.5;347.037499999999
376;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;400;3;3;1;2;347.037499999999
376;1;7;ARROZ;NA;NA;NA;2;6;0;6;347.037499999999
376;1;13;LECHE LÍQUIDA;20;1;1;7;1;0;1;347.037499999999
376;1;15;HUEVOS;NA;NA;NA;1;10;0;2;347.037499999999
376;1;16;ACEITE;20;1;2;4;0.5;0.25;0.25;347.037499999999
376;1;17;MANTEQUILLA;105;1;425;3;0.5;0.25;0.25;347.037499999999
376;1;18;SALAMI;NA;NA;NA;2;1;0;1;347.037499999999
376;1;26;PAPAS;NA;NA;NA;2;2;0;2;347.037499999999
376;1;28;HABICHUELAS ENLATADAS;63;1;15;4;4;1;3;347.037499999999
376;1;30;CHOCOLATE O COCOA;20;1;16;4;1;0.5;0.5;347.037499999999
385;1;2;GALLETAS DULCES;8;1;34;3;0.5;0;0.5;462.716666666665
385;1;3;GALLETAS SALADAS;8;1;34;3;0.5;0;0.5;462.716666666665
385;1;5;AVENA;56;2;185;3;2;0;2;462.716666666665
385;1;7;ARROZ;NA;NA;NA;2;15;5;10;462.716666666665
385;1;9;POLLO;NA;NA;NA;2;4;0;4;462.716666666665
385;1;12;MARISCOS;NA;NA;NA;2;3;0;3;462.716666666665
385;1;15;HUEVOS;NA;NA;NA;1;10;0;10;462.716666666665
385;1;16;ACEITE;57;1;1000;5;0.75;0.33;0.42;462.716666666665
385;1;24;PLÁTANO VERDE;NA;NA;NA;1;10;0;10;462.716666666665
27;1;13;LECHE LÍQUIDA;31;1;1;7;2;0;2;460.055071510766
134;1;4;HARÍNA DE MAÍZ;56;2;1;2;2;0;2;920.110143021533
134;1;5;AVENA;56;1;1;2;1;0.5;0.5;920.110143021533
134;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;400;3;1;0;1;920.110143021533
134;1;7;ARROZ;NA;NA;NA;2;10;0;10;920.110143021533
134;1;16;ACEITE;20;1;64;4;2;0;2;920.110143021533
134;1;19;SARDINAS EN AGUA;63;1;155;3;2;0;2;920.110143021533
134;1;27;HABICHUELAS SUELTAS;56;1;2;2;1;0;1;920.110143021533
134;1;29;AZUCARES;56;1;4;2;1;0;1;920.110143021533
26;1;4;HARÍNA DE MAÍZ;56;1;1;2;5;2;3;460.055071510766
26;1;16;ACEITE;NA;NA;NA;57;0.5;0;0.5;460.055071510766
26;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;1;2;1;0;1;460.055071510766
26;1;7;ARROZ;56;1;10;2;1;0;1;460.055071510766
26;1;27;HABICHUELAS SUELTAS;8;1;2;1;1;0;1;460.055071510766
112;1;4;HARÍNA DE MAÍZ;56;1;397;3;3;1;2;788.6658368756
112;1;5;AVENA;56;2;60;3;2;0;2;788.6658368756
