id_variedad;descripcion;id_unidad_medida_presentacion;frecuencia_real;pct_acumulado
606;Jugo envasado de chinola;20.0;4;98.8
373;Garbanzos;63.0;4;98.8
376;Guandules verdes desgranados;115.0;4;98.8
507;Sal marina;98.0;4;98.8
257;Leche maternizada (sustituto de lactancia materna, hasta 1 año);56.0;4;98.8
581;Café molido;1.0;4;98.8
253;Leche en polvo descremada;31.0;4;98.8
259;Suplementos alimenticios (Ensure y similares);20.0;4;98.8
551;Salsa picante;87.0;4;98.8
328;Limón agrio;56.0;4;98.8
553;Sazón líquido;20.0;4;98.8
314;Plátano verde;56.0;4;98.8
296;Aceite de maíz;20.0;4;98.9
314;Plátano verde;66.0;4;98.9
569;Caldo de pollo (Sopita Concentrada);56.0;4;98.9
323;Guineo maduro (banano);56.0;4;98.9
58;Harina de trigo;97.0;4;98.9
58;Harina de trigo;25.0;4;98.9
5752;Caldo de pollo en polvo;47.0;4;98.9
410;Ajo;56.0;4;98.9
6304;Royal (levadura);98.0;4;98.9
6469;Té frio envasado;87.0;4;98.9
6553;Sardinas en salsa de coco;63.0;4;98.9
368;Habichuelas pintas secas;8.0;4;98.9
9;Pan integral;8.0;4;98.9
178;Salami súper especial;1.0;4;98.9
649;Malta;23.0;4;98.9
645;Cerveza clara;63.0;4;98.9
228;Arenque;8.0;4;98.9
237;Sardinas en salsa de tomate;98.0;4;98.9
242;Leche fresca o cruda de vaca;31.0;4;98.9
78;Cereales integrales (corn flakes integral, bran flakes y demás);23.0;4;98.9
77;Granola;56.0;4;98.9
463;Azúcar dietética y sucedáneos del azúcar (Splenda y otros similares);23.0;4;98.9
395;Ají morrón;56.0;4;98.9
499;Caramelos, chicles;8.0;4;98.9
620;Jugo de frutas en polvo;56.0;4;98.9
639;Vino blanco;20.0;4;98.9
499;Caramelos, chicles;56.0;4;98.9
122;Molleja de pollo;8.0;4;98.9
615;Jugo envasado de uvas;20.0;4;98.9
208;Merluza;8.0;4;99.0
611;Jugo envasado de pera;20.0;4;99.0
182;Salchichas de carne de cerdo;8.0;4;99.0
3498;Galletas de huevo;56.0;4;99.0
660;Estupefacientes: marihuana, opio, cocaína y sus derivados;56.0;4;99.0
2672;Jugo de pera-piña;20.0;4;99.0
4379;Alhucema;98.0;4;99.0
4199;Salchicha de pollo;63.0;4;99.0
4461;Pasa deshidratada;8.0;4;99.0
4886;Salsa BBQ;87.0;4;99.0
86;Coditos;23.0;4;99.0
3506;Bizcocho envasado de vainilla;23.0;4;99.0
3501;Pan de hamburguer;56.0;4;99.0
3506;Bizcocho envasado de vainilla;1.0;4;99.0
447;Maíz enlatado;31.0;4;99.0
69;Arroz integral;56.0;4;99.0
3809;Macarroni & Cheese;31.0;4;99.0
3812;Mostachones;8.0;4;99.0
3992;Manzana roja;8.0;4;99.0
430;Molondrones;56.0;4;99.0
