variable,clase
d802m3_1,logical
d802m3_1_monto,numeric
d802m3_1_pais,character
d802m3_1_moneda,character
d802m3_1_forma,numeric
d802m4_1,logical
d802m4_1_monto,numeric
d802m4_1_pais,character
d802m4_1_moneda,character
d802m4_1_forma,numeric
d802m5_1,logical
d802m5_1_monto,numeric
d802m5_1_pais,character
d802m5_1_moneda,character
d802m5_1_forma,numeric
d802m6_1,logical
d802m6_1_monto,numeric
d802m6_1_pais,character
d802m6_1_moneda,character
d802m6_1_forma,numeric
d802m7_1,logical
d802m7_1_monto,numeric
d802m7_1_pais,character
d802m7_1_moneda,character
d802m7_1_forma,numeric
d802m8_1,logical
d802m8_1_monto,numeric
d802m8_1_pais,character
d802m8_1_moneda,character
d802m8_1_forma,numeric
d802m9_1,logical
d802m9_1_monto,numeric
d802m9_1_pais,character
d802m9_1_moneda,character
d802m9_1_forma,numeric
d802m10_1,logical
d802m10_1_monto,numeric
d802m10_1_pais,character
d802m10_1_moneda,character
d802m10_1_forma,numeric
d802m11_1,logical
d802m11_1_monto,numeric
d802m11_1_pais,character
d802m11_1_moneda,character
d802m11_1_forma,numeric
d802m12_1,logical
d802m12_1_monto,numeric
d802m12_1_pais,character
d802m12_1_moneda,character
d802m12_1_forma,numeric
d802m1_2,numeric
d802m1_2_monto,numeric
d802m1_2_pais,character
d802m1_2_moneda,character
d802m1_2_forma,numeric
d802m2_2,logical
d802m2_2_monto,numeric
d802m2_2_pais,character
d802m2_2_moneda,character
d802m2_2_forma,numeric
d802m3_2,logical
d802m3_2_monto,numeric
d802m3_2_pais,character
d802m3_2_moneda,character
d802m3_2_forma,numeric
d802m4_2,logical
d802m4_2_monto,numeric
d802m4_2_pais,character
d802m4_2_moneda,character
d802m4_2_forma,numeric
d802m5_2,logical
d802m5_2_monto,numeric
d802m5_2_pais,character
d802m5_2_moneda,character
d802m5_2_forma,numeric
d802m6_2,logical
d802m6_2_monto,numeric
d802m6_2_pais,character
d802m6_2_moneda,character
d802m6_2_forma,numeric
d802m7_2,logical
d802m7_2_monto,numeric
d802m7_2_pais,character
d802m7_2_moneda,character
d802m7_2_forma,numeric
d802m8_2,logical
d802m8_2_monto,numeric
d802m8_2_pais,character
d802m8_2_moneda,character
d802m8_2_forma,numeric
d802m9_2,logical
d802m9_2_monto,numeric
d802m9_2_pais,character
d802m9_2_moneda,character
d802m9_2_forma,numeric
d802m10_2,logical
d802m10_2_monto,numeric
d802m10_2_pais,character
d802m10_2_moneda,character
