variedad;descripcion;unidad_nombre;id_unidad_medida_presentacion;frecuencia_real;n_usable;n_total_combo;FC_propuesto;p25;p75;dispersión_relativa;confianza;fuente;nota_revision
16;ACEITE;Cartón;31.0;6;6;6;1878.8;1119.8;2000.0;0.47;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
30;CHOCOLATE O COCOA;Frasco;55.0;5;5;5;400.0;200.0;907.2;1.77;PROVISIONAL_baja_confianza;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Usar con cautela: patrón bimodal o evidencia escasa (n<20) o rango físicamente implausible. Requiere conocimiento de mercado local antes de dar por bueno.
16;ACEITE;Lata;63.0;5;5;5;12000.0;510.3;12700.6;1.02;PROVISIONAL_baja_confianza;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);Usar con cautela: patrón bimodal o evidencia escasa (n<20) o rango físicamente implausible. Requiere conocimiento de mercado local antes de dar por bueno.
24;PLÁTANO VERDE;Racimo;91.0;5;0;5;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
5;AVENA;Caja;23.0;4;4;4;476.8;453.6;502.6;0.1;ALTA_CONFIANZA;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
6;FIEDOS O SPAGUETTIS (PASTAS);Sobre;98.0;4;4;4;283.5;170.1;411.1;0.85;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
18;SALAMI;Pedazo;79.0;4;2;4;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
2;GALLETAS DULCES;Caja;23.0;4;4;4;310.0;169.5;445.0;0.89;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
25;GUINEITO VERDE;Mano;66.0;4;0;4;;;;;SIN_EVIDENCIA;Sin contenido_empaque_presentacion utilizable en el crudo - requiere fuente externa;
17;MANTEQUILLA;Jarro;60.0;4;4;4;453.6;446.4;659.1;0.47;CONFIANZA_MEDIA_variacion_mercado;Mediana de contenido_empaque_presentacion, Registros_Cuestionario_B.xlsx Sec2 (N=n_usable);
