id_variedad;descripcion_engih;sugerencia_ID;sugerencia_nombre;freq_registros;edible_incap;decision
5871;Agua de coco envasada (coco rico);70212021;Coco, agua de;2;1;OK
4261;Aceite de ajonjolí;70216002;Aceite de ajonjoli;2;1;OK
416;Repollo chino;70211031;Canchon o repollo chino (pe-tsai);1;0.93;OK
7838;Alas de pollo;70203014;Pollo, alas c/piel, crudas;1;0.62;OK
520;Hierbabuena;70211092;Hierbabuena, fresca;1;0.61;OK
61;Harina de plátano;70212132;Platano, harina (crema de platano);1;1;OK
7839;Pechuga de pavo (Cruda);70203008;Pavo, pechuga c/piel, cruda;1;0.86;OK
3527;Pan de papa;70214126;Pan de papa;1;1;OK
3584;Pescado trucha;70208044;Pescado, trucha, fresca;1;0.52;OK
227;Pulpo;70208048;Pulpo, fresco;1;1;OK
309;Manteca vegetal;70216013;Manteca vegetal, todo uso, soya&palma hidrog.;1;1;OK
266;Queso de soya;70201129;Tofu o queso de soya, semiduro;1;1;OK
5164;Dulce de cereza;70212054;Guinda o cereza dulce, fresca;1;0.92;OK
81;Germen de trigo;70213087;Trigo, germen de, crudo;1;1;OK
4668;Salchicha cocida;70207051;Salchicha, de pavo, cocida;1;1;OK
5600;Filete de cerdo;70204031;Cerdo, solomillo o filete, semimagro, crudo;1;0.94;OK
146;Lengua de cerdo;70204015;Cerdo, lengua, cruda;1;0.84;OK
3500;Pan de avena;70214121;Pan de avena;1;1;OK
4884;Perejil seco el polvo;70222039;Perejil, seco;1;1;OK
4269;Mamón;70212076;Mamoncillo/mamon;1;0.51;OK
6465;Pistacho;70210029;Semilla de pistacho, cruda;1;0.53;OK
308;Manteca de cerdo;70216012;Manteca de cerdo;1;1;OK
141;Corazón de res;70205028;Res, corazon, crudo;1;0.71;OK
5835;Harina integral;70213152;Harina de arroz, integral;1;1;DUDOSA
142;Lengua de res;70205036;Res, lengua, cruda;1;0.84;OK
2887;Avena preparada;70213007;Avena instantanea, fortificada, preparada c/agua;1;1;OK
2667;Agua de coco servida;70212021;Coco, agua de;1;1;OK
6743;Caimito;70212012;Caimito morado;1;0.65;OK
8244;Semillas de girasol;70210045;Semilla de girasol seca;1;0.54;OK
3961;Macarrones con queso;70213073;Pasta enlatada, macarrones c/queso;1;1;OK
