id_variedad,descripcion_engih,freq_registros,enhance_id_anterior,enhance_id_nuevo,tipo_equivalencia,motivo
4707,Salami de pavo,5,NA,70207046,directa,Carga de sugerencia revisada (bloque 154)
294,Aceite de girasol,4,NA,70216005,directa,Carga de sugerencia revisada (bloque 154)
7,Pan baguette integral,4,NA,70214112,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
513,Albahaca,4,NA,70222002,directa,Carga de sugerencia revisada (bloque 154)
211,Róbalo,4,NA,70208037,directa,Carga de sugerencia revisada (bloque 154)
253,Leche en polvo descremada,4,NA,70201011,directa,Carga de sugerencia revisada (bloque 154)
5958,Tortilla de trigo,4,NA,70214058,directa,Carga de sugerencia revisada (bloque 154)
519,Romero,3,NA,70222020,directa,Carga de sugerencia revisada (bloque 154)
344,Níspero,3,NA,70212030,directa,Carga de sugerencia revisada (bloque 154)
147,Riñón de res,3,NA,70205041,directa,Carga de sugerencia revisada (bloque 154)
62,Sémola de maíz,3,NA,70213024,directa,Carga de sugerencia revisada (bloque 154)
189,Pepperoni,2,NA,70207036,directa,Carga de sugerencia revisada (bloque 154)
7392,Jobo,2,NA,70212066,directa,Carga de sugerencia revisada (bloque 154)
5875,Cúrcuma,2,NA,70222030,directa,Carga de sugerencia revisada (bloque 154)
3007,Cabeza de res,2,NA,70205076,directa,Carga de sugerencia revisada (bloque 154)
345,Pan de fruta,2,NA,70212043,directa,Carga de sugerencia revisada (bloque 154)
119,Carne de pato,2,NA,70203005,directa,Carga de sugerencia revisada (bloque 154)
3994,Manzana amarilla,2,NA,70212186,directa,Carga de sugerencia revisada (bloque 154)
5871,Agua de coco envasada (coco rico),2,NA,70212021,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
4261,Aceite de ajonjolí,2,NA,70216002,directa,Carga de sugerencia revisada (bloque 154)
416,Repollo chino,1,NA,70211031,directa,Carga de sugerencia revisada (bloque 154)
7838,Alas de pollo,1,NA,70203014,directa,Carga de sugerencia revisada (bloque 154)
520,Hierbabuena,1,NA,70211092,directa,Carga de sugerencia revisada (bloque 154)
61,Harina de plátano,1,NA,70212132,directa,Carga de sugerencia revisada (bloque 154)
7839,Pechuga de pavo (Cruda),1,NA,70203008,directa,Carga de sugerencia revisada (bloque 154)
3527,Pan de papa,1,NA,70214126,directa,Carga de sugerencia revisada (bloque 154)
3584,Pescado trucha,1,NA,70208044,directa,Carga de sugerencia revisada (bloque 154)
227,Pulpo,1,NA,70208048,directa,Carga de sugerencia revisada (bloque 154)
309,Manteca vegetal,1,NA,70216013,directa,Carga de sugerencia revisada (bloque 154)
266,Queso de soya,1,NA,70201129,directa,Carga de sugerencia revisada (bloque 154)
5164,Dulce de cereza,1,NA,70212054,directa,Carga de sugerencia revisada (bloque 154)
81,Germen de trigo,1,NA,70213087,directa,Carga de sugerencia revisada (bloque 154)
4668,Salchicha cocida,1,NA,70207051,directa,Carga de sugerencia revisada (bloque 154)
5600,Filete de cerdo,1,NA,70204031,directa,Carga de sugerencia revisada (bloque 154)
146,Lengua de cerdo,1,NA,70204015,directa,Carga de sugerencia revisada (bloque 154)
3500,Pan de avena,1,NA,70214121,directa,Carga de sugerencia revisada (bloque 154)
4884,Perejil seco el polvo,1,NA,70222039,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
4269,Mamón,1,NA,70212076,directa,Carga de sugerencia revisada (bloque 154)
6465,Pistacho,1,NA,70210029,directa,Carga de sugerencia revisada (bloque 154)
308,Manteca de cerdo,1,NA,70216012,directa,Carga de sugerencia revisada (bloque 154)
141,Corazón de res,1,NA,70205028,directa,Carga de sugerencia revisada (bloque 154)
5835,Harina integral,1,NA,70213158,directa,Harina integral (DUDOSA): era harina de ARROZ integral
142,Lengua de res,1,NA,70205036,directa,Carga de sugerencia revisada (bloque 154)
2887,Avena preparada,1,NA,70213007,directa,Carga de sugerencia revisada (bloque 154)
2667,Agua de coco servida,1,NA,70212021,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
6743,Caimito,1,NA,70212012,directa,Carga de sugerencia revisada (bloque 154)
8244,Semillas de girasol,1,NA,70210045,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
3961,Macarrones con queso,1,NA,70213073,sustituto_por_criterio,Carga de sugerencia revisada (bloque 154)
