id_vivienda;id_hogar;id_hogar_unico;id_variedad;descripcion;id_unidad_medida_presentacion;id_unidad_medida;Q;cantidad_inicial;cantidad_final;factor_anual;unidad_a_convertir;fc_universal;fc_especifico;fc;descripcion_engih;enhance_id;fuente;tipo_equivalencia;validado;edible;PM
364;1;364_1;14;LECHE EN POLVO;63;3;0.5;0.5;0;378.586363636363;63;NA;NA;NA;LECHE EN POLVO;7025;INCAP;directa;TRUE;1,00;7
364;1;364_1;16;ACEITE;NA;57;0.1;0.5;0.4;378.586363636363;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
364;1;364_1;17;MANTEQUILLA;105;2;0.5;0.5;0;378.586363636363;105;NA;NA;NA;MANTEQUILLA;70216015;INCAP;requiere_revision;TRUE;1,00;7
364;1;364_1;18;SALAMI;NA;2;0.15;0.8;0.65;378.586363636363;2;453.592;453592;453.592;SALAMI;70207021;INCAP;sustituto_por_criterio;TRUE;1,00;7
364;1;364_1;29;AZUCARES;NA;2;0.5;2;1.5;378.586363636363;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
340;1;340_1;4;HARÍNA DE MAÍZ;56;4;1;2;1;415.510416666666;56;NA;NA;NA;HARÍNA DE MAÍZ;70213031;INCAP;sustituto_por_criterio;TRUE;1,00;7
340;1;340_1;6;FIEDOS O SPAGUETTIS (PASTAS);56;2;1;1;0;415.510416666666;56;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
340;1;340_1;7;ARROZ;56;2;1;1;0;415.510416666666;56;NA;NA;NA;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
340;1;340_1;9;POLLO;NA;2;3.5;3.5;0;415.510416666666;2;453.592;NA;453.592;POLLO;70203019;INCAP;sustituto_por_criterio;TRUE;0,68;7
340;1;340_1;15;HUEVOS;NA;1;2;2;0;415.510416666666;1;NA;NA;NA;HUEVOS;70202002;INCAP;directa;TRUE;0,88;7
340;1;340_1;16;ACEITE;NA;57;0;0.5;0.5;415.510416666666;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
340;1;340_1;19;SARDINAS EN AGUA;63;4;1;1;0;415.510416666666;63;NA;NA;NA;SARDINAS EN AGUA;26139190;FNDDS;directa;TRUE;1,00;7
340;1;340_1;22;ATÚN EN AGUA;63;3;1;1;0;415.510416666666;63;NA;NA;NA;ATÚN EN AGUA;70208020;INCAP;directa;TRUE;1,00;7
340;1;340_1;24;PLÁTANO VERDE;NA;1;7;7;0;415.510416666666;1;NA;NA;NA;PLÁTANO VERDE;70212131;INCAP;directa;TRUE;0,66;7
340;1;340_1;26;PAPAS;56;2;0.5;0.5;0;415.510416666666;56;NA;NA;NA;PAPAS;70211127;INCAP;directa;TRUE;0,75;7
340;1;340_1;27;HABICHUELAS SUELTAS;NA;2;1;1;0;415.510416666666;2;453.592;NA;453.592;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
340;1;340_1;28;HABICHUELAS ENLATADAS;NA;4;3;3;0;415.510416666666;4;28.3495;NA;28.3495;HABICHUELAS ENLATADAS;70209057;INCAP;sustituto_por_criterio;TRUE;1,00;7
340;1;340_1;29;AZUCARES;NA;2;1;1;0;415.510416666666;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
303;1;303_1;4;HARÍNA DE MAÍZ;56;2;0;2;2;277.006944444444;56;NA;NA;NA;HARÍNA DE MAÍZ;70213031;INCAP;sustituto_por_criterio;TRUE;1,00;7
